TICKET,APAR,SUMMARY,COMPONENT,SUBCOMPONENT1,SUBCOMPONENT2,SUBCOMPONENT3,RELEASE_NOTE
SPM-144188,,Reintroduce support for Oracle WebLogic Server 12.2.1.4,Third Party Updates,,,,"Support has been reintroduced for Oracle WebLogic Application Server 12.2.1.4 (and future patches) in the Cúram 8.2.0.0 release. WebLogic 12.2.1.4 is the Long-Term Support (LTS) release with extended support up to 2027.

Cúram 8.2.0.0 also supports Oracle Oracle WebLogic Server WebLogic 14.1.1 and future patches.

"
SPM-143563,,The 'configtest' target fails when run against a Db2 for z/OS version 13 database,CEF,Application Development Environment,,,"The ?build configtest? target was failing when run against Db2 for z/OS database version 13. This was due to the version of the database being incorrectly specified in the associated ?CuramSDEJlibthird_party&#95;tools&#95;version.properties? file.

This has now been resolved, and the version of Db2 for z/OS specified in this file has been updated to 13.1.

"
SPM-143534,,Cúram Installer process improvements,CEF,Application Development Environment,,,"*Change*
The Cúram post-installation process has been improved.
The aim is to allow customers to generate a new secret key and keystore for enhanced security and to encrypt Cúram passwords using the key. 

*Use*
The key in the keystore is a symmetric key used for Advanced Encryption Standard encryption. 
This key is utilized to encrypt and decrypt configuration passwords, including those for the database and web services. 

*New Ant targets*
A new Ant target is provided to either create a new keystore or reuse an existing one: ?createkeystore?.
A new Ant target is added to initialise some credentials required for use in Cúram: 'init_passwords'.

*What new targets are used for?*
These are used to generate a new encryption key and set up credentials such as for database connectivity, the application server and some out-of-the-box users. 

*Required action*
The target ?init_passwords? can be run in an interactive or automated mode. 
In interactive mode, it will prompt to provide the username and/or password for the required credentials.
In automated mode, it requires each credential to be specified for update.
The credentials set by ?init_passwords? will be encrypted or digested appropriately using the settings in CryptoConfig.properties and written to the corresponding source files.

*For more detailed information*
See the _Cúram Development Environment Installation Guide 8.2_ updates for more details. 

"
SPM-143378,,Customise users in LoginClient,CEF,Application Development Environment,,,"*Issue Description:*
The RMILoginClient used to log in to the server previously provided the means to quickly login for a fixed set of users. This has been enhanced to allow customisation of the users able to quickly login.

The same change applies to the RestLoginClient in Cúram for Modern Java.

*User Interface Impact:* No

*Resolution:*
The RMILoginClient (or RestLoginClient under Modern Java) now allows customisation of the quick login buttons by reading usernames and passwords from a properties file on the classpath. 

A default set of users are provided with quick login buttons. If you wish to change the users available to quick login, add a file to the classpath called 'LoginClient.properties' and add usernames (and optionally passwords) as per this example:

username1=password   &#35; internal user
internal.username2=   &#35; internal user (without password)
external.username3=password  &#35; external user

"
SPM-142775,DT037279,Date anomaly for May 3rd 1942 in timezone America/Puerto_Rico,CEF,Application Development Environment,,,"*Issue Description:*
The date May 3, 1942 is misinterpreted in the America/Puerto_Rico timezone due to an anomaly in certain versions of the Java timezone database. Specifically, the database incorrectly applies a 1-hour daylight saving time (DST) adjustment at midnight on that date. As a result, the date is shifted back to May 2, 1942 during calculations, leading to inaccurate historical date handling.

*User Interface Impact:* No

*Steps to Reproduce:*

# Add ?-Duser.timezone=America/Puerto_Rico? to the Default VM Arguments for the JRE being used.
# Log in as a caseworker.
# Register a person with their date of birth as the 3rd of May 1942.
# Issue: Their date of birth is displayed as the 2nd of May 1942.

*Resolution:*
A special case has been added to handle this anomaly and ensure accurate date calculations.

"
SPM-142681,,LifeEvents and HoldingCaseDP do not have proper error handling mechanism,CEF,Life Event Management,,,"*Issue Description:*
Developers were unable to throw AppException and InformationalException messages from the curam.citizen.datahub.impl.CustomUpdateProcessor.processUpdate() API, as the method signature did not declare these exceptions.

*User Interface Impact:* No

*Resolution:*
The processUpdate() API method signature has been revised to throw AppException and InformationalException messages, thereby allowing developers to raise these exceptions when necessary.

"
SPM-142178,,Update to the latest version of the Rampart Axis 2 security library - esapi,Third Party Updates,,,,"Cúram web services are based on Apache Axis2. With the Rampart security module of Axis2, SPM web services can be secured for authentication, integrity (signature), confidentiality (encryption/decryption), and non-repudiation (timestamp).

The version of one of the JAR files in Rampart has been updated. As a result of this update, the following changes have been made to the JDE Axis 2 deliverable.

* CuramSDEJlibaxis2esapi-2.6.0.0.jar - version updated from 2.4.0.0 to 2.6.0.0. 

Note that any references in custom scripts and other artifacts to the updated JAR file listed above must be updated.

"
SPM-141951,,Remove support for the MV2 Chrome extension in the Word Integration feature,CEF,Business Services,Word Integration,,"The Microsoft Word integration functionality for Google Chrome and Microsoft Edge is based on the extension and native messaging features of those browsers. To use the native messaging solution, no extra server configuration is required, but a browser extension and a client desktop Java? application, that is, the Word Integration Assistant, must be installed on all client computers.

In previous Cúram versions, both an MV2 and an MV3 version of the browser extension were supported (where Manifest V3 is the latest version of the Chrome extensions platform). Support for the MV2 browser extension has now been dropped. This is the response to the Manifest V2 support timeline ([https://developer.chrome.com/docs/extensions/develop/migrate/mv2-deprecation-timeline|https://developer.chrome.com/docs/extensions/develop/migrate/mv2-deprecation-timeline]) where it has been outlined that the downloading and usage of such extensions will be disabled in the near future.

The MV3 version of the File Edit Native Messaging Bridge extension may be downloaded from [https://chromewebstore.google.com/detail/spm-file-edit-native-mess/chefnfmmodjpepjmmdehfapjafboobhe|https://chromewebstore.google.com/detail/spm-file-edit-native-mess/chefnfmmodjpepjmmdehfapjafboobhe]  and is the one which should be used going forward.

For further details on how to configure the Word Integration feature for Cúram, please refer to the ?Configuring the FILE&#95;EDIT widget with Google Chrome and Microsoft? Edge? section of the _System Administration Guide_. 

"
SPM-141831,,The configure target fails on the Windows platform when using WebSphere Liberty application server,CEF,Application Development Environment,,,"*Issue Description:*
The ?configure' target, when run on the Windows platform against the WebSphere Application Server, fails as it reports that the 'securityUtility? function cannot be found.

*User Interface Impact:* No

*Steps to Reproduce*:

# On a Windows platform, install the WebSphere Liberty Application Server.
# Install the Cúram application.
# Run the 'configure? target.
# Issue: the target fails as the ?securityUtility? function invoked as part of that target cannot be found. 

*Resolution:*
The ?configure? target used to configure the WebSphere Liberty Application Server on the Windows platform has been updated to ensure that all of the WebSphere Liberty functions executed as part of that overall target are Windows compatible. 

"
SPM-141814,,Select bank account for nominee drop-down display issues when IBAN enabled,CEF,Dynamic Evidence,Dynamic Evidence,,"*Issue Description:*
When the IBAN system property, ?curam.participant.enableibanfunctionality? is enabled, there is an issue with the select bank account drop-down for nominees. The IBAN and BIC values are not displayed in the bank accounts presented in the drop-down.

*User Interface Impact:* No

*Prerequisites:*

# Log in as a system administrator.
# Click Property Administration under Application Data in the shortcuts panel.
# Search for the property ?curam.participant.enableibanfunctionality?.
# Use the row-level action to set the property?s value to ?YES?.
# Use the Publish page-level action to publish the changes.
# Log in as an administrator.
# Click Dynamic Evidence under Rules and Evidence in the shortcuts panel.
# Click the Bank Account toggle, there should be three dynamic evidence types present, two active and one in-edit.
# Use the row-level action to activate the in-edit version.
# Click Banks under Financial in the shortcuts panel.
# There are two banks named Midway Savings Bank. Use the toggle to view the details of second Midway Savings Bank.
# Click the Bank Branches in-line page.
# Use the row-level action to add a BIC for the branch Downtown Midway.

*Steps to Reproduce:*

# Log in as a caseworker.
# Register a new Person.
# Click the Evidence tab.
# Use the page-level action to create a new bank account, ensuring to specify the IBAN and BIC, the same BIC specified in the prerequisites above.
# Repeat step 4 to add a second bank account for the person with a different IBAN.
# Click the Care and Protection tab.
# Use the page-level action to add a new integrated case.
# Now add an associated product delivery to the integrated case, ?Weekly By EFT In Advance on a Monday?.
# Click the Financial tab and select Nominees.
# Use the row-level action to Change Bank Account.
# In the Change Nominee Bank Account dialog, click the Select Bank Account drop-down.
# Issue: The bank accounts in the drop-down don?t reference the IBANs or BICs.

*Resolution:*
The issue has been resolved, and the IBAN and BIC values now appear in the drop-down list when selecting a bank account in the Change Nominee Bank Account dialog.

"
