TICKET,APAR,SUMMARY,COMPONENT,SUBCOMPONENT1,SUBCOMPONENT2,SUBCOMPONENT3,RELEASE_NOTE
SPM-18796,"PO09651, DT032830",The initial keyboard focus is not set correctly on view-only modal dialogs,CEF,Application Development Environment,Client Development Environment,,"*Issue Description:*
When a caseworker user opens a view-only modal, such as a confirmation dialog, the initial keyboard focus is not set correctly.
*User Interface Impact:* No
*Steps to Reproduce: *
*Scenario 1:*
# Log in as a caseworker.
# Register a new Person.
# Open the person home page.
# Click the Remove Picture button.
# Focus is not on the No button.
# Issue: Focus is not visible to the user.

*Scenario 2:*
# Log in as a caseworker.
# Register a new Person.
# Open the person home page.
# Click the Evidence tab and, using the keyboard, navigate to any evidence type, like Addresses, and then expand.
# Move the focus to the Change History tab and then to the 3 dots on the right side under the Change Summary table.
# Press Enter to open the drop-down and select the Delete option.
# When the Delete Active Evidence modal opens, move the focus to the X Close modal using tab.
# Press the tab again and verify the focus.
# Issue: Focus is not visible to the user.

*Resolution:*
The initial keyboard focus is now correctly set when a view-only modal dialog is opened by a caseworker, and also when the text content on the modal receives focus.
"
SPM-115739,PO06752,The Close link on the Preview Contact Log page is not working,CEF,Technical Services,,,"*Issue Description:*
The Close link on the Preview Contact Log Details is not working.

*User Interface Impact:* Yes

*Steps to Reproduce:* 
# Log in as a Child Welfare intake worker.
# Select New Intake from the Quick Links PODs.
# Set the following intake details:## Category: Child Protection Services
## Type: Child Abuse or Neglect
## Date: Today?s date

# Click Save to create an Intake Assistant.
# Navigate to the Participant tab.
# From the actions menu, select to create a New Participant.## Enter First Name (e.g., Bobby)
## Select Role as ?Alleged Victim?
## Click Next, then Finish on the following page.

# Open the tab actions menu and select Open Intake.
# On the Intake, navigate to the Contacts tab and create a new Contact Log.## Select the Contact Log you created
## Click Preview Selected Contacts
## The Preview Contact Log will display
## Click the Close link to exit

# Issue: User has to go to a different page and come back to see the Contact Logs again.

*Resolution:*
The user can select the Close link on Preview Contact Logs, and they are returned to the Contact Logs page.
"
SPM-116448,,An unhandled server exception is thrown when trying to view a Risk Assessment report that was created by using either a Policy or a Discretionary Assessment Override,SOL,Child Welfare,,,"*Issue Description:*
The Risk Assessment report download results in an unhandled server exception when the assessment is completed using an Assessment Override, regardless of whether it is a Policy or Discretionary override. 
*User Interface Impact:* No
*Steps to Reproduce: *
*Scenario 1:*
# Log in as a Structured Decision-Making Child Welfare intake worker.
# Select New Intake under the Intakes section of the shortcuts panel. 
# Provide a Category, Types, Date, and click Save; an Intake Assistant will be created.
# Navigate to the Participant tab and create a New Participant from the action menu.
# Provide a First Name, Last Name, and select the Role as Alleged Victim.
# Navigate to the Assessments tab and complete the screening questions.
# Navigate to the Allegations tab.
# Add allegations that came as part of the Screening Assessment by selecting Alleged Victim and Unknown Maltreater.
# Select Open Intake from the actions menu.
# Navigate to the Recommendation tab and complete the RPA (Response Priority Assessment).
# Select Add Information from the list action menu, complete the required fields, and submit.
# Log out.
# Log in as a Structured Decision-Making Child Welfare supervisor.
# Navigate to the Intake, click on Make Decision, and approve the intake.
# Log out.
# Log in as a Structured Decision-Making Child Welfare investigator.
# Start an investigation for the approved Intake.
# Complete the safety assessment, add contact logs, dispose of allegations, and register the client.
# Complete the Risk Assessment, and in the Assessment Override drop-down, select either Policy Override or Discretionary Override and finish the Assessment.
# Select View Report from the completed risk assessment action menu.
# Issue: An unhandled server exception occurs when the report is expected to be downloaded.

*Scenario 2:*
# Log in as an administrator.
# Select Assessment Definitions under the Outcome Management section of the shortcuts panel.
# Open an active Risk Assessment.
# Navigate to the Factors tab and select the Final Risk link.
# Navigate to the Classification tab and expand any of the four override classifications.
# Issue: An unhandled server exception is displayed when the override classifications are expanded for viewing.

*Resolution:*
Initial data has been added for Policy Override and Discretionary Override assessment flows. With this data in place, the Risk Assessment report downloads and the admin classification page for override types functions as expected. 
*Technical Section:*
The initial data entries for the following four Risk Assessment override types were missing, which resulted in an unhandled server exception.
* Moderate (Discretionary Override)
* High (Discretionary Override)
* Very High (Discretionary Override)
* Very High (Policy Override)

The missing entries have been added to the following files:
* CFSS/EJBServer/components/InvestigationSDMContent/data/initial/RISK_CLASSIFICATIONGUIDANCE.dmx
* CFSS/EJBServer/components/InvestigationSDMContent/data/initial/RISK_LOCALIZABLETEXT.dmx

"
SPM-123358,,Update the version of Apache Ant used in Cúram to 1.10.15,Third Party Updates,,,,"The supported version of Apache Ant used in the Cúram Development Environment has been increased from 1.10.6 to 1.10.15.
"
SPM-128260,,Remove the xmltask.jar from the Cúram CDEJ Deliverable,Code Removal,,,,"The following defunct OSS JAR file has been removed from the Cúram CDEJ deliverable:
* CuramCDEJlibextjarxmltask.jar

It was not being referenced or used by any Cúram logic. 
We recommend that you update your custom scripts and any other artifacts to delete any references to the removed JAR file specified above.
"
SPM-130428,,Update the versions of the Jackson JAR files to the latest version,Third Party Updates,,,,"The Jackson API contains multiple functions to read and build JSON using Java. It has data binding capabilities and provides a framework to serialize custom Java objects to JSON strings and deserialize JSON strings back into Java objects. The Java Development Environment (JDE) and the REST infrastructure utilizes these utilities. 
The versions of these JARs have now been updated from 2.15.2 to 2.19.2. As a result of this upgrade, the following changes have been made in the JDE and REST deliverable.
* CuramSDEJlibthird&#95;party&#95;version.properties - the versions of the specified Jackson JARs have been updated.

* CuramSDEJlibjackson-annotations-2.19.2.jar - version of the JAR updated.
* CuramSDEJlibjackson-core-2.19.2.jar - version of the JAR updated.
* CuramSDEJlibjackson-databind-2.19.2.jar - version of the JAR updated.

* CuramCDEJlibextjarjackson-annotations-2.19.2.jar - version of the JAR updated.
* CuramCDEJlibextjarjackson-core-2.19.2.jar - version of the JAR updated.
* CuramCDEJlibextjarjackson-databind-2.19.2.jar - version of the JAR updated.

* EJBServercomponentsRestrestlibdependencyLibsExtjackson-annotations-2.19.2.jar - version of the JAR updated.
* EJBServercomponentsRestrestlibdependencyLibsExtjackson-core-2.19.2.jar - version of the JAR updated.
* EJBServercomponentsRestrestlibdependencyLibsExtjackson-databind-2.19.2.jar - version of the JAR updated.

* EJBServercomponentsRestrestlibdependencyLibsCorejackson-jaxrs-base-2.19.2.jar - version of the JAR updated.
* EJBServercomponentsRestrestlibdependencyLibsCorejackson-jaxrs-json-provider-2.19.2.jar - version of the JAR updated.
* EJBServercomponentsRestrestlibdependencyLibsCorejackson-module-jaxb-annotations-2.19.2.jar - version of the JAR updated.
* EJBServercomponentsRestgraphql_libjackson-dataformat-yaml-2.19.2.jar - version of the JAR updated.

* EJBServercomponentsRestgraphql_libjackson-datatype-jdk8-2.19.2.jar - version of the JAR updated.

We recommend that you update any references in custom scripts and other artifacts to point to the new version of the JAR files that are specified above.
"
SPM-130441,,Update the Jsoup JAR file to the latest version,Third Party Updates,,,,"Jsoup is a Java library that is used to work with HTML. It provides an API for fetching URLs and extracting and manipulating data by using HTML5 DOM methods and CSS selectors. 
The version of the Jsoup JAR that is used by SPM has now been updated from 1.16.1 to 1.21.1. This new JAR file contains some minor bug fixes and enhancements. 
As a result of this upgrade, the following changes have been made in the Java Development Environment deliverable:
* CuramSDEJlibthird&#95;party&#95;version.properties - the version of the specified Jsoup JAR file has been updated.
* CuramSDEJlibjsoup-1.21.1jar - the jsoup JAR has been added to the SDEJ at this location.
* CuramCDEJlibextjarjsoup-1.21.1.jar - the version of the JAR has been updated.

Note that any references in custom scripts and other artefacts must be updated to point to the new version of the JAR file as specified above. 
"
SPM-130486,,Update the Apache FOP (Formatting Objects Processor) libraries to the latest version,Third Party Updates,,,,"Apache FOP (Formatting Objects Processor) is a print formatter driven by XSL formatting objects and an output-independent formatter. It is used by the Cúram XML Server in the generation of PDF documents. 
The version of Apache FOP used by the Cúram XML Server has been updated from 2.8 to 2.11. Apache FOP 2.11 contains some bug fixes and several improvements. It also restructures some of the main JAR files in the FOP deliverable in that there are now multiple JAR files related to both FOP and Batik, whereas previously there was just one JAR file for each. 
As a result of this upgrade, the following changes have been made in the Java Development Environment (JDE) deliverable.
* CuramSDEJlibthird&#95;party&#95;version.properties - the versions of the specified FOP-related JARs have been updated.

The changes to the FOP and related JAR files include:
* CuramSDEJxmlserverbatik-all-1.16.jar - this JAR file has been removed.
* CuramSDEJxmlserverbatik-anim-1.19.jar - new JAR added.
* CuramSDEJxmlserverbatik-awt-util-1.19.jar - new JAR added.
* CuramSDEJxmlserverbatik-bridge-1.19.jar - new JAR added.
* CuramSDEJxmlserverbatik-codec-1.19.jar - new JAR added.
* CuramSDEJxmlserverbatik-constants-1.19.jar - new JAR added.
* CuramSDEJxmlserverbatik-css-1.19.jar - new JAR added.
* CuramSDEJxmlserverbatik-dom-1.19.jar - new JAR added.
* CuramSDEJxmlserverbatik-ext-1.19.jar - new JAR added.
* CuramSDEJxmlserverbatik-extension-1.19.jar - new JAR added.
* CuramSDEJxmlserverbatik-gvt-1.19.jar - new JAR added.
* CuramSDEJxmlserverbatik-i18n-1.19.jar - new JAR added.
* CuramSDEJxmlserverbatik-parser-1.19.jar - new JAR added.
* CuramSDEJxmlserverbatik-script-1.19.jar - new JAR added.
* CuramSDEJxmlserverbatik-shared-resources-1.19.jar - new JAR added.
* CuramSDEJxmlserverbatik-svg-dom-1.19.jar - new JAR added.
* CuramSDEJxmlserverbatik-svggen-1.19.jar - new JAR added.
* CuramSDEJxmlserverbatik-transcoder-1.19.jar - new JAR added.
* CuramSDEJxmlserverbatik-util-1.19.jar - new JAR added.
* CuramSDEJxmlserverbatik-xml-1.19.jar - new JAR added.
* CuramSDEJxmlserverfop-2.11.jar - new JAR added.
* CuramSDEJxmlserverfop-2.8.jar - old JAR removed.
* CuramSDEJxmlserverfop-core-2.11.jar - new JAR added.
* CuramSDEJxmlserverfop-events-2.11.jar - new JAR added.
* CuramSDEJxmlserverfop-util-2.11.jar - new JAR added.
* CuramSDEJxmlserverxmlgraphics-commons-2.11.jar - new JAR added.
* CuramSDEJxmlserverxmlgraphics-commons-2.8.jar - old JAR removed.

We recommend that you update any references in custom scripts and other artifacts to point to the new version of the JAR files that are specified above.
"
SPM-130489,,Upgrade Eclipse Business Intelligence and Reporting Tools (BIRT) to 4.20 in Modern Java,Third Party Updates,Business Intelligence and Analytics,,,"Business Intelligence Reporting Tool (BIRT) is an open-source technology platform that is used to create charts and traditional reports. 
BIRT is included in Cúram where it provides interactive, summarized information in context and allows for analytics to be integrated. These BIRT charts are displayed on user workspace pages, context panels, and dashboards. 
The version of BIRT used by Cúram has now been updated from 4.15 to 4.20 in Modern Java. 
As a result of this upgrade, the following changes have been made to the Cúram deliverable. 
*Updated:*
/BIApp/CuramBIRTViewer/buildscripts/rep&#95;javadoc.xml to reference the new plugin version org.eclipse.birt.report.engine_4.20.0.v202506011452.jar
/BIApp/CuramBIRTViewer/buildscripts/BIRTthird&#95;party&#95;version.properties to reference the new plugin version _4.20.0.v202506011452 
*The contents of the following directories have been updated to reflect the new version of BIRT: *
/BIApp/CuramBIRTViewer/WebContent/WEB-INF/platform
/BIApp/CuramBIRTViewer/WebContent/WEB-INF/lib

It should be noted that any references in custom build scripts and other artifacts to the BIRT JAR files should be updated to point to the new version of the JAR files. 
This upgrade has resulted in performance, scalability, and accessibility improvements, as well as dark/light theme support for a better user experience, while also ensuring future maintainability. Testing of existing reports is recommended, particularly those using Excel, PDF, or DOCX outputs, as the emitter improvements may subtly affect output formatting.
"
SPM-131933,DT036872,The 'Get selected tasks' confirmation page is opening as a page instead of a modal,CEF,Technical Services,Task Management,,"*Issue Description:*
The ?Get selected tasks? confirmation page is opening as a page instead of a modal.
*User Interface Impact:* Yes
*Steps to Reproduce*
# Log in as a caseworker.
# Click the Inbox workspace, and select New Task under My Tasks in the shortcuts panel.
# Fill in the Subject field and check ?Add to My Tasks?.
# Repeat Step 2 twice more to create a total of three tasks.
# From each newly created Open Task, select ?Make Available'.
# From the shortcuts panel, select Available Tasks.
# Leave the default checkboxes selected and perform a search.
# From the search results, select the three newly added tasks and click ?Add to My Tasks?.
# Issue: A confirmation page opens instead of a modal, and 'No' does not return to the previous page.

*Resolution:*
When the user selects multiple tasks and clicks 'Add to My Tasks', a confirmation correctly opens with a modal dialog, ensuring a more seamless and consistent user experience. The modal presents the user with 'Yes' and 'No' options. Selecting 'Yes' confirms the action and adds the selected tasks to the user's task list. Selecting 'No' now correctly closes the modal and returns the user to the previous screen, preserving their search results and selections. 
"
SPM-132619,DT036908," Create Legal Action fails to capture court and judge",ENT,Appeals,,,"*Issue Description:*
When attempting to create a new Legal Action, the user is unable to specify the Court Location and Judge. The selected Court Location from the drop-down field does not persist, and the assigned Judge intermittently fails to appear. 
*User Interface Impact:* Yes
*Prerequisites*:
# Log in as administrator.
# Select Legal Actions under Case in the shortcuts panel.
# On the Legal Actions page, select ?Add Product Delivery Cases? for Petition to Transfer.
# Select a product delivery case.
# Click Publish.
# Log in as a caseworker.
# Click External Party under Registration in the shortcuts panel.
# Click Next on the Search External Party page.
# Enter ?MyExternalParty? in the External Party Name field, select ?Legal Authority? for the Type field, and enter an address and phone number.
# Click Save.
# On the MyExternalParty tab, navigate to the Offices tab.
# Click New Office Member from the actions menu.
# Enter ?Court? in the Name field, select ?Court? for the Type field, enter an address, and click Save. 
# On the Office page, from the row-level action, click ?New office Member?.
# Enter Name as ?Judge Judy?, select Administrator for Profile field, and click Save.

*Steps to Reproduce (Generic):*
# Log in as a caseworker.
# Register a person and create an integrated case.
# Create an associated product delivery - this is the same product delivery for which a Legal Action was configured against.
# In the product delivery case, navigate to Issues and Proceedings and select the Legal Actions page.
# Click New Legal Action.
# Select Legal Action Type: ?Petition? and Legal Category: ?Petition to Transfer?. 
# Click Next.
# On the New Petition page, click the Court Location field search.
# On the External Party Office Search page, enter ?MyExternalParty? in the External Party name field and click search.
# Issue: User is unable to select the Court Location. 

*Resolution:*
Caseworkers can now capture Court Location and Judge details successfully while creating a Legal Action.
In the External Party Office modal dialog, the results section has been updated to improve usability. The two columns previously labelled Reference Number and External Party Name have been merged into a single column titled External Party Name. This change simplifies the display and assists with external party office searches.
"
SPM-135365,DT037041,Remove unnecessary '&ast; required field' messages from screen readers and hide them on screens without mandatory fields,CEF,Application Development Environment,Infrastructure,,"*Issue Description:*
The ?&ast; required field? message is visible on all pages regardless of whether they contain mandatory fields. Screen readers also announce this message, although it is intended only as a visual legend for the asterisk symbol.
*User Interface Impact:* No
*Steps to Reproduce: *
*Scenario 1:*
# Log in as a caseworker.
# Register a person.
# On Step 1 of the Register Person wizard (Registered Person Check), observe the UI. 
# Issue: The ?&ast; required field? message is visible, even though no fields on this page are mandatory. 

*Scenario 2:*
# Enable a screen reader.
# Log in as a caseworker.
# Register a person.
# Proceed to Step 2 of the Register Person wizard.
# Issue: The screen reader announces the ?&ast; required field? message. This message is meant only for visual users to explain the asterisk symbol next to required fields and should not be read aloud.

*Resolution:*
The ?&ast; required field? message now only appears on pages with mandatory fields and is hidden from screen readers.
**"
SPM-135432,DT037007,Incoming records are not removed when source evidence updates match target evidence exactly,CEF,Evidence Broker,,,"*Issue Description:*
Incoming evidence records are not removed when source evidence updates match target evidence exactly.
*User Interface Impact:* No
*Prerequisites: *
# Log in as an administrator.
# Click Evidence Sharing under Rules and Evidence in the shortcuts panel.
# Click the New Sharing Configurations page-level action.## Select Source = Person, Target = <Any integrated case type>
## Select ?Birth and Death Details?
## Set ?Trusted Source? = Yes
## Click Save and Exit

# Repeat step 3 for the following configuration:## Select Source = <Same integrated case type referenced in Step 3.a>, Target = Person
## Select ?Birth and Death Details?
## Set ?Trusted Source? = No
## Click Save and Exit.

# Log out.

*Steps to Reproduce (Generic):*
# Log in as a caseworker.
# Register a person.
# Click the Care and Protection tab and select Cases.
# Use the page-level action to create an integrated case - the same integrated case as referenced in the prerequisites.
# Click the Evidence tab on the integrated case.
# Select ?In Edit Evidence?.
# Select ?Continue Editing? for the Birth and Death Details evidence, setting a date of death 10 days prior. 
# Apply changes.## The evidence is shared to the Person Data Case and appears on the Incoming Evidence screen.

# On the integrated case, remove the date of death. 
# Apply changes.
# Issue: The incoming evidence, with the date of death, remains on the incoming screen.

*Resolution:*
This issue has been resolved, and an incoming evidence record is now removed if a change is made to the source evidence that makes it identical to the evidence on the target case.
"
SPM-135474,DT037016,Focus order for the shortcuts panel is not working as expected for a keyboard user,CEF,Application Development Environment,Infrastructure,,"*Issue Description:*
Using a keyboard to navigate through the section shortcuts panel does not follow the expected focus order pattern.
*User Interface Impact:* No
*Steps to Reproduce:*
# Log in as a caseworker.
# Click the Cases and Outcomes tab.
# Use the keyboard to navigate to the shortcuts panel button and press the spacebar or Enter key to open the panel.
# Press the Tab key to navigate to the Search category, where the focus goes to the top and currently opened category as expected. 
# Press the Tab key, and focus goes to the Person, which is the first link in the Search category.
# Keep pressing the Tab key until focus goes to the Provider Group, which is the last link in the Search category.
# Press the Tab key again.
# Issue: Focus goes to the shortcuts panel divider, and there is no way for a keyboard user to navigate to other shortcut categories unless the user reads the Cúram documentation.

*Resolution:*
The shortcuts panel has been updated so that the focus order moves through the category titles and visible links from top to bottom, as would be expected. 
Note: The behaviour of the shortcuts panel categories has changed. Any previously opened category will no longer automatically collapse or close when a new category is selected. Categories will remain open until a user selects to close them. 
"
SPM-135754,DT037028," The toggle button in an expandable list detail row doesn't describe its purpose clearly",Accessibility,Application Development Environment,Core Development Infrastructure,,"*Issue Description:*
When using a screen reader to navigate to a details row in an expandable list, the toggle button does not clearly indicate its purpose or what content it controls.
*User Interface Impact:* No
*Steps to Reproduce:*
# Start a screen reader.
# Log in as an administrator.
# Select Work Queues in the shortcuts panel.
# Navigate through the Work Queues list.
# Issue: The details row toggle button does not provide any information about the particular row it is toggling.

*Resolution:*
The aria-label for the toggle button in the details row in an expandable list now includes additional contextual information, e.g. ?Toggle details, Online Application Received Work Queue, Row 2?. 
*Technical:*
By default, the text from the first column is used to provide additional context for the generated aria-label on the toggle button. In UIM, you can use the CONTEXT element to gain more control over the information included in the aria-label. 
The CONTEXT element can be added as a child of either the FIELD or CONTAINER element, and it supports two attributes: 
*ORDER* -  Indicates that the field should be used to provide additional context for the generated aria-label, and also the concatenation order when generating the aria-label for lists with multiple columns (FIELD elements).
For example, if the first FIELD in the list has ORDER=?2? on its CONTEXT element and the second FIELD  has ORDER=?1?, the generated aria-label will place the text from the second column before the text from the first column. 
*IGNORE *- Indicates that the text from this column should be excluded when generating the aria-label. 
"
SPM-135797,"DT037040, DT036793",The hierarchical levels of nested tables are not programmatically available,CEF,Application Development Environment,Client Development Environment,,"*Issue Description:*
When accessing content within expandable lists, especially when the lists are nested multiple levels deep or combined with in-page tab navigation, screen reader or keyboard users cannot reliably identify or navigate within these lists. This is making it difficult to understand the context of the information presented.
*User Interface Impact:* No
*Steps to Reproduce:*
# Start a screen reader.
# Log in as an Insurance Affordability caseworker.
# Register a new Person and create an integrated case.
# Navigate to the Evidence tab.
# Add New Phone Number evidence.
# Update the Phone Number evidence.
# Click the Phone Number evidence row and expand.
# Expand the nested Change History table.
# Inspect the nested tables in Developer Tools.
# Issue: The level of tables in the hierarchy should be described to help screen reader users know where they are in the nested table hierarchy.

*Resolution:*
Expandable lists within the application are now fully accessible. Screen reader and keyboard users can reliably identify, navigate and understand content in nested expandable lists and in-page navigation tabs, ensuring a clearer and more inclusive experience.
"
SPM-135798,DT037037,The purpose of the list actions is not clear in their accessible name,Accessibility,Application Development Environment,Core Development Infrastructure,,"*Issue Description:*
When using a screen reader to navigate to a row in a list that includes an inline action, the action menu button does not clearly indicate its purpose or the content it affects.
*User Interface Impact:* No
*Steps to Reproduce: *
*Scenario 1:*
# Start a screen reader.
# Log in as a caseworker.
# Register a new Person.
# Navigate to the Evidence tab.
# Click the New Evidence page-level action.
# Issue: The ?Add? button on the New Evidence modal does not provide any information about the particular evidence type it is adding. 

*Scenario 2:*
# Start a screen reader.
# Log in as a caseworker.
# Register a new Person.
# Click the ?New Application Form? link. 
# On the Application form modal once inside the table, use keyboard shortcuts to navigate to the radio button and notice instructions in the title attribute.
# Issue:* *Content is hidden from sighted users but exposed to screen reader users only when keyboard shortcuts are being used.* *

*Scenario 3:*
# Start a screen reader.
# Log in as an administrator.
# Select Work Queues in the shortcuts panel.
# Tab to the View Localizable Text blue button on the row.
# Screen reader reads out the label as expected.
# Use Shift + Tab to go back one element.
# Press the down arrow key to navigate to the View Localizable Text button.
# Issue: Screen reader does not read out the label name. It just announces ?Row 2 Link? or ?Row x link?, depending on which row the icon is displayed.

*Resolution:*
The aria-label for inline action menu buttons now includes additional contextual information, e.g ?Add Addresses Row 2?. 
*Technical:*
By default, the text from the first column is used to provide additional context for the generated aria-label. In UIM, you can use the CONTEXT element to gain more control over the information included in the aria-label. 
The CONTEXT element can be added as a child of either the FIELD or CONTAINER element, and it supports two attributes: 
*ORDER* -  Specifies the concatenation order when generating the aria-label for lists with multiple columns (FIELD  elements). For example, if the first FIELD  in the list has ORDER=?2? on its CONTEXT element and the second FIELD  has ORDER=?1?, the generated aria-label will place the text from the second column before the text from the first column. 
*IGNORE *- Indicates that the text from this column should be excluded when generating the aria-label. 
"
